"nome","resumo","coordenador"
"REESTRUTURAÇÃO DAS ATIVIDADES REALIZADAS NAS DISCIPLINAS: FÍSICA TI E RADIOBIOLOGIA.","Em breve este conteúdo estará disponível.","Andre Pereira De Almeida "
"APLICAÇÃO DOS CONCEITOS DA FÍSICA NA SEGURANÇA DO TRABALHO","Em breve este conteúdo estará disponível.","Angelo Cerqueira Da Cunha Júnior "
"MECÂNICA FÍSICA 1","Em breve este conteúdo estará disponível.","Bruno Werneck Mintz "
"FÍSICA TEÓRICA E EXPERIMENTAL 1","Em breve este conteúdo estará disponível.","Bruno Werneck Mintz "
"FÍSICA 1 PARA ENGENHARIA QUÍMICA E LICENCIATURA EM QUÍMICA","Em breve este conteúdo estará disponível.","Bruno Werneck Mintz "
"CINEMÁTICA PARA INICIANTES","Em breve este conteúdo estará disponível.","Elizandra Martins Silva "
"PROJETO DE MONITORIA PARA DISCIPLINA FÍSICA I","Em breve este conteúdo estará disponível.","Erika Dias Cabral "
"PROJETO DE MONITORIA PARA DISCIPLINA FÍSICA II","Em breve este conteúdo estará disponível.","Erika Dias Cabral "
"UTILIZAÇÃO DO PYTHON PARA APRIMORAR O ENSINO DE FÍSICA: SIMULAÇÕES E ATIVIDADES INTERATIVAS","Em breve este conteúdo estará disponível.","Erika Dias Cabral "
"MONITORIA DE FÍSICA; APROFUNDANDO O ESTUDO DA DISCIPLINA ENTRE OS ALUNOS.","Em breve este conteúdo estará disponível.","Gustavo De Barros "
"MONITORIA DE FÍSICA; O ESTUDO COMPARTILHADO ENTRE ALUNOS TORNA O ENTENDIMENTO MUITO MAIS PROFUNDO.","Em breve este conteúdo estará disponível.","Gustavo De Barros "
"APLICANDO E APRENDENDO FÍSICA E MATEMÁTICA NO ESPORTE","Em breve este conteúdo estará disponível.","Gustavo De Barros "
"EDUCAÇÃO NÃO FORMAL NA FORMAÇÃO INICIAL DE PROFESSORES: UM CAMINHO POSSÍVEL PARA O ENSINO DE FÍSICA","Em breve este conteúdo estará disponível.","Laís Rodrigues Da Silva "
"DESENVOLVIMENTO E CONSTRUÇÃO DE KITS DIDÁTICOS PARA O ENSINO DE ELETRICIDADE E MAGNETISMO","Em breve este conteúdo estará disponível.","Luiz Pinheiro Cordovil Da Silva "
"MONITORIA EM FÍSICA PARA BIOLOGIA","Em breve este conteúdo estará disponível.","Marcos Paes Torrecilha "
"INOVANDO METODOLOGIA DE ENSINO DE CIÊNCIAS A PARTIR DA COLABORAÇÃO COM ESPAÇOS ENSINO NÃO-FORMAIS","Em breve este conteúdo estará disponível.","Rosana Bulos Santiago "
"APRENDIZAGEM ATIVA EM FÍSICA ATRAVÉS DA ROBÓTICA NA EDUCAÇÃO BÁSICA","Em breve este conteúdo estará disponível.","Thiago Corrêa Almeida "
"DA TEORIA À SALA DE AULA: UM PROJETO DE INICIAÇÃO À DOCÊNCIA EM FÍSICA","Em breve este conteúdo estará disponível.","Thiago Daboit Roberto "
"EXPLORANDO A FÍSICA ATRAVÉS DE VÍDEOS EXPERIMENTAIS: AMPLIANDO A COMPREENSÃO DOS ALUNOS","Em breve este conteúdo estará disponível.","Thiago Daboit Roberto "
